## Tue Jul 25 22:27:11 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1129 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Synpcc7942_0031	1140.Synpcc7942_0031	1.09e-312	851.0	COG0161@1|root,COG0161@2|Bacteria,1G40S@1117|Cyanobacteria,1GYMD@1129|Synechococcus	1129|Synechococcus	H	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family	bioA	-	2.6.1.62	ko:K00833	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03231	RC00006,RC00887	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_3
Synpcc7942_0032	1140.Synpcc7942_0032	9.81e-77	229.0	COG2361@1|root,COG2361@2|Bacteria,1G980@1117|Cyanobacteria,1H2CA@1129|Synechococcus	1129|Synechococcus	S	Protein of unknown function DUF86	-	-	-	-	-	-	-	-	-	-	-	-	DUF86
Synpcc7942_0033	1140.Synpcc7942_0033	6.83e-76	226.0	COG1669@1|root,COG1669@2|Bacteria,1G6K9@1117|Cyanobacteria,1H1J2@1129|Synechococcus	1129|Synechococcus	S	Nucleotidyltransferase domain	-	-	-	ko:K07075	-	-	-	-	ko00000	-	-	-	NTP_transf_2
Synpcc7942_0036	1140.Synpcc7942_0036	7.48e-190	526.0	COG1633@1|root,COG1633@2|Bacteria,1GFFX@1117|Cyanobacteria,1H20J@1129|Synechococcus	1129|Synechococcus	S	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0038	1140.Synpcc7942_0038	1.1e-113	325.0	COG1051@1|root,COG1051@2|Bacteria,1G6Z3@1117|Cyanobacteria,1H4BC@1129|Synechococcus	1129|Synechococcus	F	NUDIX domain	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX
Synpcc7942_0039	1140.Synpcc7942_0039	0.0	924.0	COG0362@1|root,COG0362@2|Bacteria,1G01J@1117|Cyanobacteria,1GZ06@1129|Synechococcus	1129|Synechococcus	H	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH	gnd	-	1.1.1.343,1.1.1.44	ko:K00033	ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200	M00004,M00006	R01528,R10221	RC00001,RC00539	ko00000,ko00001,ko00002,ko01000	-	-	-	6PGD,NAD_binding_2
Synpcc7942_0040	1140.Synpcc7942_0040	6.19e-86	253.0	COG1539@1|root,COG1539@2|Bacteria,1G6RT@1117|Cyanobacteria,1H1G2@1129|Synechococcus	1129|Synechococcus	H	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin	folB	-	1.13.11.81,4.1.2.25,5.1.99.8	ko:K01633	ko00790,ko01100,map00790,map01100	M00126,M00840	R03504,R11037,R11073	RC00721,RC00943,RC01479,RC03333,RC03334	ko00000,ko00001,ko00002,ko01000	-	-	-	FolB
Synpcc7942_0042	1140.Synpcc7942_0042	8e-49	155.0	COG0227@1|root,COG0227@2|Bacteria,1G7NQ@1117|Cyanobacteria,1H13C@1129|Synechococcus	1129|Synechococcus	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
Synpcc7942_0044	1140.Synpcc7942_0044	0.0	1336.0	COG0665@1|root,COG0665@2|Bacteria,1G0Q8@1117|Cyanobacteria,1H4BD@1129|Synechococcus	1129|Synechococcus	E	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_oxidored
Synpcc7942_0045	1140.Synpcc7942_0045	1.38e-315	860.0	COG0457@1|root,COG0457@2|Bacteria,1G193@1117|Cyanobacteria,1GZYH@1129|Synechococcus	1129|Synechococcus	M	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_9,TPR_1,TPR_16,TPR_19,TPR_2,TPR_7,TPR_8
Synpcc7942_0046	1140.Synpcc7942_0046	0.0	895.0	COG0500@1|root,COG2226@2|Bacteria,1G0FJ@1117|Cyanobacteria,1H090@1129|Synechococcus	1129|Synechococcus	Q	Methyltransferase small domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_31
Synpcc7942_0048	1140.Synpcc7942_0048	1.6e-88	261.0	COG2165@1|root,COG2165@2|Bacteria,1GHB2@1117|Cyanobacteria,1H2CP@1129|Synechococcus	1129|Synechococcus	U	Pfam:N_methyl_2	-	-	-	ko:K02650	ko02020,map02020	-	-	-	ko00000,ko00001,ko02035,ko02044	3.A.15.2	-	-	N_methyl
Synpcc7942_0049	1140.Synpcc7942_0049	5.58e-89	262.0	COG2165@1|root,COG2165@2|Bacteria,1GHB2@1117|Cyanobacteria,1H2CP@1129|Synechococcus	1129|Synechococcus	U	Pfam:N_methyl_2	-	-	-	ko:K02650	ko02020,map02020	-	-	-	ko00000,ko00001,ko02035,ko02044	3.A.15.2	-	-	N_methyl
Synpcc7942_0051	1140.Synpcc7942_0051	0.0	1256.0	COG0457@1|root,COG3914@1|root,COG0457@2|Bacteria,COG3914@2|Bacteria,1G0K6@1117|Cyanobacteria,1H0B3@1129|Synechococcus	1129|Synechococcus	O	Glycosyl transferase family 41	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_transf_41,Methyltransf_21,TPR_11,TPR_16,TPR_2,TPR_8
Synpcc7942_0052	1140.Synpcc7942_0052	5.73e-125	355.0	COG4627@1|root,COG4627@2|Bacteria,1G57B@1117|Cyanobacteria,1H0MY@1129|Synechococcus	1129|Synechococcus	S	Methyltransferase domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
Synpcc7942_0054	1140.Synpcc7942_0054	3.28e-181	504.0	COG3510@1|root,COG3510@2|Bacteria,1G2TB@1117|Cyanobacteria,1H1Y7@1129|Synechococcus	1129|Synechococcus	V	Cephalosporin hydroxylase	-	-	-	-	-	-	-	-	-	-	-	-	CmcI
Synpcc7942_0056	1140.Synpcc7942_0056	7.19e-284	774.0	COG0399@1|root,COG0399@2|Bacteria,1G0XH@1117|Cyanobacteria,1H0KM@1129|Synechococcus	1129|Synechococcus	M	Belongs to the DegT DnrJ EryC1 family	-	-	1.17.1.1,2.6.1.102	ko:K12452,ko:K13010	ko00520,map00520	-	R03391,R03392,R10460	RC00006,RC00230,RC00781	ko00000,ko00001,ko01000,ko01005,ko01007	-	-	-	DegT_DnrJ_EryC1
Synpcc7942_0057	1140.Synpcc7942_0057	9.45e-300	817.0	COG2227@1|root,COG2227@2|Bacteria,1G06X@1117|Cyanobacteria,1H1YJ@1129|Synechococcus	1129|Synechococcus	H	C-methyltransferase C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_13,Methyltransf_14,Methyltransf_23
Synpcc7942_0058	1140.Synpcc7942_0058	1.82e-130	370.0	COG1898@1|root,COG1898@2|Bacteria,1G6IJ@1117|Cyanobacteria,1H406@1129|Synechococcus	1129|Synechococcus	M	Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose	-	-	5.1.3.13	ko:K01790	ko00521,ko00523,ko01130,map00521,map00523,map01130	M00793	R06514	RC01531	ko00000,ko00001,ko00002,ko01000	-	-	-	dTDP_sugar_isom
Synpcc7942_0061	1140.Synpcc7942_0061	3.27e-281	766.0	COG0451@1|root,COG0451@2|Bacteria,1G2VR@1117|Cyanobacteria,1GZHW@1129|Synechococcus	1129|Synechococcus	M	Polysaccharide biosynthesis protein	-	-	4.2.1.45	ko:K01709	ko00520,map00520	-	R02426	RC00402	ko00000,ko00001,ko01000	-	-	-	GDP_Man_Dehyd
Synpcc7942_0062	1140.Synpcc7942_0062	9.16e-198	546.0	COG1208@1|root,COG1208@2|Bacteria,1G00Y@1117|Cyanobacteria,1H2UG@1129|Synechococcus	1129|Synechococcus	JM	Nucleotidyl transferase	-	-	2.7.7.33	ko:K00978	ko00500,ko00520,ko01100,map00500,map00520,map01100	-	R00956	RC00002	ko00000,ko00001,ko01000	-	-	-	NTP_transferase
Synpcc7942_0063	1140.Synpcc7942_0063	3.49e-102	295.0	COG2453@1|root,COG2453@2|Bacteria,1G9IA@1117|Cyanobacteria,1H0XF@1129|Synechococcus	1129|Synechococcus	T	phosphatase	-	-	-	-	-	-	-	-	-	-	-	-	DSPc
Synpcc7942_0065	1140.Synpcc7942_0065	4.1e-124	354.0	COG0290@1|root,COG0290@2|Bacteria,1G0WC@1117|Cyanobacteria,1GYTV@1129|Synechococcus	1129|Synechococcus	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins	infC	-	-	ko:K02520	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	IF3_C,IF3_N
Synpcc7942_0066	1140.Synpcc7942_0066	0.0	983.0	COG3225@1|root,COG3225@2|Bacteria,1G0JN@1117|Cyanobacteria,1GZQ1@1129|Synechococcus	1129|Synechococcus	N	ABC-type uncharacterized transport system	-	-	-	-	-	-	-	-	-	-	-	-	ABC_transp_aux
Synpcc7942_0067	1140.Synpcc7942_0067	1.41e-173	486.0	COG1277@1|root,COG1277@2|Bacteria,1G272@1117|Cyanobacteria,1GYWZ@1129|Synechococcus	1129|Synechococcus	S	ABC-2 family transporter protein	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2,ABC2_membrane_3
Synpcc7942_0068	1140.Synpcc7942_0068	6.1e-230	634.0	COG1131@1|root,COG1131@2|Bacteria,1G11U@1117|Cyanobacteria,1GZFU@1129|Synechococcus	1129|Synechococcus	V	ABC transporter	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
Synpcc7942_0070	1140.Synpcc7942_0070	1.68e-133	378.0	COG5135@1|root,COG5135@2|Bacteria,1G50T@1117|Cyanobacteria,1H0E8@1129|Synechococcus	1129|Synechococcus	S	Pyridoxamine 5'-phosphate oxidase	-	-	1.4.3.5	ko:K00275	ko00750,ko01100,ko01120,map00750,map01100,map01120	M00124	R00277,R00278,R01710,R01711	RC00048,RC00116	ko00000,ko00001,ko00002,ko01000	-	-	-	Pyridox_oxase_2
Synpcc7942_0071	1140.Synpcc7942_0071	2.89e-293	800.0	COG0399@1|root,COG0399@2|Bacteria,1G0IM@1117|Cyanobacteria,1GZB3@1129|Synechococcus	1129|Synechococcus	E	Belongs to the DegT DnrJ EryC1 family	degT	-	-	-	-	-	-	-	-	-	-	-	DegT_DnrJ_EryC1
Synpcc7942_0072	1140.Synpcc7942_0072	5.69e-154	432.0	COG2801@1|root,COG2801@2|Bacteria,1G53A@1117|Cyanobacteria,1GYR7@1129|Synechococcus	1129|Synechococcus	L	Protein of unknown function (DUF1997)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1997
Synpcc7942_0073	1140.Synpcc7942_0073	1.18e-296	808.0	COG0761@1|root,COG0761@2|Bacteria,1G10V@1117|Cyanobacteria,1GYKF@1129|Synechococcus	1129|Synechococcus	IM	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis	ispH	-	1.17.7.4	ko:K03527	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05884,R08210	RC01137,RC01487	ko00000,ko00001,ko00002,ko01000	-	-	-	LYTB
Synpcc7942_0075	1140.Synpcc7942_0075	0.0	877.0	COG0006@1|root,COG0006@2|Bacteria,1G0KH@1117|Cyanobacteria,1GYKH@1129|Synechococcus	1129|Synechococcus	E	Belongs to the peptidase M24B family	pepP	-	3.4.11.9	ko:K01262	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	AMP_N,Creatinase_N,Creatinase_N_2,Peptidase_M24,Peptidase_M24_C
Synpcc7942_0076	1140.Synpcc7942_0076	6.53e-171	478.0	COG0834@1|root,COG0834@2|Bacteria,1G5IQ@1117|Cyanobacteria,1H1JW@1129|Synechococcus	1129|Synechococcus	ET	Bacterial extracellular solute-binding proteins, family 3	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
Synpcc7942_0078	1140.Synpcc7942_0078	1.12e-104	302.0	COG0432@1|root,COG0432@2|Bacteria,1G5T5@1117|Cyanobacteria,1H0V3@1129|Synechococcus	1129|Synechococcus	S	Uncharacterised protein family UPF0047	-	-	-	-	-	-	-	-	-	-	-	-	UPF0047
Synpcc7942_0079	1140.Synpcc7942_0079	3.21e-99	288.0	COG0629@1|root,COG0629@2|Bacteria,1G84Y@1117|Cyanobacteria,1H0F7@1129|Synechococcus	1129|Synechococcus	L	Single-stranded DNA-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	SSB
Synpcc7942_0080	1140.Synpcc7942_0080	7.89e-270	741.0	COG0577@1|root,COG0577@2|Bacteria,1G1W4@1117|Cyanobacteria,1GYDX@1129|Synechococcus	1129|Synechococcus	V	ABC-type antimicrobial peptide transport system, permease component	-	-	-	ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	FtsX,MacB_PCD
Synpcc7942_0081	1140.Synpcc7942_0081	4.61e-44	142.0	COG2501@1|root,COG2501@2|Bacteria,1G9E2@1117|Cyanobacteria,1H1MB@1129|Synechococcus	1129|Synechococcus	S	RNA-binding S4	-	-	-	ko:K14761	-	-	-	-	ko00000,ko03009	-	-	-	S4_2
Synpcc7942_0082	1140.Synpcc7942_0082	0.0	1113.0	COG1132@1|root,COG1132@2|Bacteria,1G185@1117|Cyanobacteria,1GYT3@1129|Synechococcus	1129|Synechococcus	V	ABC-type multidrug transport system, ATPase and permease	mdlB	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
Synpcc7942_0084	1140.Synpcc7942_0084	3.65e-158	444.0	COG0465@1|root,COG0465@2|Bacteria,1G105@1117|Cyanobacteria,1H002@1129|Synechococcus	1129|Synechococcus	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M41
