locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_B2625,srpF,CP000101.1,,17149,17676,+,conserved hypothetical protein,No COG annotation,Q9R6V4,Op35
Synpcc7942_B2627,srpJ,CP000101.1,,17687,18748,+,conserved hypothetical protein,No COG annotation,Q9R6V3,Op35
Synpcc7942_0019,sir,CP000100.1,,18615,20489,+,sulfite reductase (ferredoxin),Energy production and conversion,P30008,Op36
Synpcc7942_B2628,srpK,CP000101.1,,18745,19557,+,sulfonate ABC transporter%2C ATP-binding protein%2C putative,No COG annotation,Q9R6V2,Op35
Synpcc7942_B2629,srpL,CP000101.1,,19583,20806,+,sulfonate ABC transporter%2C periplasmic sulfonate-binding protein%2C putative,No COG annotation,Q9R6V1,Op35
Synpcc7942_0020,Synpcc7942_0020,CP000100.1,,20490,21092,+,conserved hypothetical protein,No COG annotation,Q31SB7,Op36
Synpcc7942_B2630,srpM,CP000101.1,,20808,21608,+,sulfonate ABC transporter%2C permease protein%2C putative,No COG annotation,Q9R6V0,Op35
Synpcc7942_0021,cobK,CP000100.1,,21134,21874,-,precorrin-6A reductase,Coenzyme transport and metabolism,Q31SB6,Op37
Synpcc7942_0022,Synpcc7942_0022,CP000100.1,,21880,23049,-,conserved hypothetical protein,Function unknown,Q31SB5,Op37
Synpcc7942_B2631,anL56,CP000101.1,,21934,22212,+,conserved hypothetical protein,No COG annotation,Q8KUT5,Op38
Synpcc7942_B2652,anL56.5,CP000101.1,,22166,22417,+,hypothetical protein,No COG annotation,Q31JV0,Op38
Synpcc7942_B2655,anL58,CP000101.1,,22675,23511,-,conserved hypothetical protein,No COG annotation,Q8KUT3,Op39
Synpcc7942_0023,cax,CP000100.1,,23057,24121,-,calcium/proton exchanger,Inorganic ion transport and metabolism,Q31SB4,Op37
Synpcc7942_B2632,anL59,CP000101.1,,23609,24160,-,hypothetical protein,No COG annotation,Q31JU8,Op40
Synpcc7942_0024,Synpcc7942_0024,CP000100.1,,24181,25371,-,conserved hypothetical protein,Function unknown,Q31SB3,Op41
Synpcc7942_B2633,anL01,CP000101.1,,24871,27870,+,hypothetical protein,No COG annotation,Q8KUX4,Op42
Synpcc7942_0025,-,CP000100.1,,25416,27122,+,conserved hypothetical protein,Function unknown,Q31SB2,Op43
Synpcc7942_0026,Synpcc7942_0026,CP000100.1,,27082,28059,-,conserved hypothetical protein,Energy production and conversion,Q31SB1,Op44
Synpcc7942_B2656,anL02,CP000101.1,,27980,28894,-,hypothetical protein,No COG annotation,Q8KUX3,Op45
Synpcc7942_0027,bioF,CP000100.1,,28184,29350,+,8-amino-7-oxononanoate synthase,Amino acid transport and metabolism,Q31SB0,Op46
Synpcc7942_B2657,anL03,CP000101.1,,29150,29365,-,hypothetical protein,No COG annotation,Q8KUX0,Op47
Synpcc7942_0028,Synpcc7942_0028,CP000100.1,,29347,30015,+,conserved hypothetical protein,Lipid transport and metabolism,Q31SA9,Op46
Synpcc7942_B2634,anL05,CP000101.1,,29941,31320,-,conserved hypothetical protein,No COG annotation,Q31JU4,Op48
Synpcc7942_0029,bioC,CP000100.1,,30012,30833,+,conserved hypothetical protein,Function unknown,Q31SA8,Op46
Synpcc7942_0030,bioD,CP000100.1,,30839,31471,+,dethiobiotin synthase,Coenzyme transport and metabolism,Q31SA7,Op46
Synpcc7942_0031,bioA,CP000100.1,,31464,32738,+,aminotransferase,Coenzyme transport and metabolism,Q31SA6,Op46
Synpcc7942_B2635,Synpcc7942_B2635,CP000101.1,,31738,32697,+,hypothetical protein,No COG annotation,Q8KUW7,Op49
Synpcc7942_0032,Synpcc7942_0032,CP000100.1,,32849,33202,-,conserved hypothetical protein,Function unknown,Q31SA5,Op50
Synpcc7942_0033,-,CP000100.1,,33174,33506,-,conserved hypothetical protein,Function unknown,Q31SA4,Op51
Synpcc7942_B2636,anL08,CP000101.1,,33473,33760,+,hypothetical protein,No COG annotation,Q8KUW5,Op52
Synpcc7942_0034,Synpcc7942_0034,CP000100.1,,33685,33798,+,N-acetylornithine aminotransferase,No COG annotation,Q31SA3,Op53
Synpcc7942_B2658,Synpcc7942_B2658,CP000101.1,,34129,34359,-,hypothetical protein,No COG annotation,Q31JU1,Op54
Synpcc7942_0035,Synpcc7942_0035,CP000100.1,,34357,35115,-,conserved hypothetical protein,No COG annotation,Q31SA2,Op55
Synpcc7942_B2638,anL11,CP000101.1,,34543,34836,+,conserved hypothetical protein,No COG annotation,Q8KUW2,Op56
Synpcc7942_B2639,anL12,CP000101.1,,34802,35131,+,conserved hypothetical protein,No COG annotation,Q8KUW1,Op56
Synpcc7942_0036,-,CP000100.1,,35341,36126,+,conserved hypothetical protein,Function unknown,Q31SA1,Op57
Synpcc7942_B2640,anL15,CP000101.1,,35646,36077,-,conserved hypothetical protein,No COG annotation,Q8KUV9,Op58
Synpcc7942_0037,Synpcc7942_0037,CP000100.1,,36123,36326,-,hypothetical protein,No COG annotation,Q31SA0,Op59
Synpcc7942_B2641,Synpcc7942_B2641,CP000101.1,,36267,36392,+,hypothetical protein,No COG annotation,Q31JT7,Op60
Synpcc7942_0038,mutT,CP000100.1,,36479,36955,+,mutator MutT protein,Nucleotide transport and metabolism,Q31S99,Op61
Synpcc7942_B2642,anL16,CP000101.1,,36501,37493,-,putative zinc-binding oxidoreductase,No COG annotation,Q31JT6,Op62
Synpcc7942_0039,gnd,CP000100.1,,37130,38545,+,6-phosphogluconate dehydrogenase (decarboxylating),Coenzyme transport and metabolism,P21577,Op63
Synpcc7942_B2643,anL18,CP000101.1,,37703,38428,-,ThiJ family protein,No COG annotation,Q8KUV7,Op64
Synpcc7942_B2644,anL19,CP000101.1,,38521,39228,+,response regulator receiver domain protein (CheY-like),No COG annotation,P72557,Op65
Synpcc7942_0040,folB,CP000100.1,,38630,39007,+,dihydroneopterin aldolase Dihydroneopterin aldolase,Coenzyme transport and metabolism,Q31S97,Op66
Synpcc7942_0041,Synpcc7942_0041,CP000100.1,,39441,40745,+,probable transport protein,No COG annotation,Q31S96,Op67
Synpcc7942_B2645,anL21,CP000101.1,,39571,40194,+,conserved hypothetical protein,No COG annotation,P72559,Op68
Synpcc7942_B2646,anL22,CP000101.1,,40470,41786,-,two-component sensor histidine kinase,No COG annotation,P72560,Op69
Synpcc7942_0042,rpmB,CP000100.1,,40855,41091,-,LSU ribosomal protein L28P,"Translation, ribosomal structure and biogenesis",Q31S95,Op70
Synpcc7942_0043,Synpcc7942_0043,CP000100.1,,41131,41496,-,conserved hypothetical protein,No COG annotation,Q31S94,Op70
Synpcc7942_0044,Synpcc7942_0044,CP000100.1,,41495,43477,+,conserved hypothetical protein,Amino acid transport and metabolism,Q31S93,Op71
Synpcc7942_B2647,anL23,CP000101.1,,41755,42429,-,response regulator receiver domain protein (CheY-like),No COG annotation,Q8KUV6,Op69
Synpcc7942_B2649,Synpcc7942_B2649,CP000101.1,,42652,43134,+,hypothetical protein,No COG annotation,P72562,Op72
Synpcc7942_B2650,anL25,CP000101.1,,43298,43888,+,hypothetical protein,No COG annotation,Q8KUV5,Op73
Synpcc7942_0045,Synpcc7942_0045,CP000100.1,,43572,44927,+,TPR repeat,Cell wall/membrane/envelope biogenesis,Q31S92,Op74
Synpcc7942_B2660,Synpcc7942_B2660,CP000101.1,,43857,44252,+,hypothetical protein,No COG annotation,Q31JS8,Op75
Synpcc7942_B2651,xerC,CP000101.1,,44779,45741,-,integrase/recombinase,No COG annotation,Q8KUV2,Op76
Synpcc7942_0046,Synpcc7942_0046,CP000100.1,,45164,46507,+,Methylase involved in ubiquinone/menaquinone biosynthesis-like,"Secondary metabolites biosynthesis, transport, and catabolism",Q31S91,Op77
Synpcc7942_B2653,sepT1,CP000101.1,,45831,46181,-,transcriptional modulator of MazE/toxin%2C MazF,No COG annotation,Q8KUV1,Op78
Synpcc7942_0047,Synpcc7942_0047,CP000100.1,,46515,48881,+,TPR repeat,No COG annotation,Q31S90,Op77
Synpcc7942_0048,-,CP000100.1,,48927,49361,-,pilin polypeptide PilA-like,"Intracellular trafficking, secretion, and vesicular transport",Q31S89,Op79
Synpcc7942_0049,-,CP000100.1,,49550,49984,-,pilin polypeptide PilA-like,"Intracellular trafficking, secretion, and vesicular transport",Q31S88,Op80
Synpcc7942_0050,Synpcc7942_0050,CP000100.1,,50070,52616,+,conserved hypothetical protein,No COG annotation,Q31S87,Op81
Synpcc7942_0051,Synpcc7942_0051,CP000100.1,,52606,54507,-,TPR repeat,"Post-translational modification, protein turnover, and chaperones",Q31S86,Op82
Synpcc7942_0052,Synpcc7942_0052,CP000100.1,,54512,55030,-,conserved hypothetical protein,Function unknown,Q31S85,Op82
Synpcc7942_0053,Synpcc7942_0053,CP000100.1,,55204,56352,-,conserved hypothetical protein,No COG annotation,Q31S84,Op83
Synpcc7942_0054,Synpcc7942_0054,CP000100.1,,56423,57190,-,conserved hypothetical protein,Defense mechanisms,Q31S83,Op84
Synpcc7942_0055,Synpcc7942_0055,CP000100.1,,57223,57906,-,hypothetical protein,No COG annotation,Q31S82,Op84
Synpcc7942_0056,rfbE,CP000100.1,,57941,59068,-,perosamine synthetase,Cell wall/membrane/envelope biogenesis,Q31S81,Op84
Synpcc7942_0057,Synpcc7942_0057,CP000100.1,,59072,60304,-,putative C-3 methyl transferase,Coenzyme transport and metabolism,Q31S80,Op84
Synpcc7942_0058,rfbC1,CP000100.1,,60301,60846,-,dTDP-4-dehydrorhamnose 3%2C5-epimerase,Cell wall/membrane/envelope biogenesis,Q31S79,Op84
Synpcc7942_0059,Synpcc7942_0059,CP000100.1,,60867,61112,-,hypothetical protein,No COG annotation,Q31S78,Op84
Synpcc7942_0060,Synpcc7942_0060,CP000100.1,,61091,61369,-,hypothetical protein,No COG annotation,Q31S77,Op85
Synpcc7942_0061,rfbG,CP000100.1,,61366,62472,-,CDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,Q31S76,Op85
Synpcc7942_0062,rfbF,CP000100.1,,62469,63242,-,glucose-1-phosphate cytidylyltransferase,"Translation, ribosomal structure and biogenesis",Q31S75,Op85
Synpcc7942_0063,Synpcc7942_0063,CP000100.1,,64266,64706,-,dual specificity protein phosphatase,Signal transduction mechanisms,Q31S74,Op86
Synpcc7942_0064,Synpcc7942_0064,CP000100.1,,64703,64870,-,hypothetical protein,No COG annotation,Q31S73,Op87
Synpcc7942_0065,infC,CP000100.1,,64987,65541,-,bacterial translation initiation factor 3 (bIF-3),"Translation, ribosomal structure and biogenesis",Q31S72,Op88
Synpcc7942_0066,Synpcc7942_0066,CP000100.1,,65658,67172,-,conserved hypothetical protein,Cell motility,Q31S71,Op89
Synpcc7942_0067,Synpcc7942_0067,CP000100.1,,67177,67986,-,probable permease protein of ABC transporter,Function unknown,Q31S70,Op89
Synpcc7942_0068,Synpcc7942_0068,CP000100.1,,67991,68980,-,ATPase,Defense mechanisms,Q31S69,Op89
Synpcc7942_0069,Synpcc7942_0069,CP000100.1,,69079,69375,+,hypothetical protein,No COG annotation,Q31S68,Op90
Synpcc7942_0070,Synpcc7942_0070,CP000100.1,,69378,69938,-,conserved hypothetical protein,Function unknown,Q31S67,Op91
Synpcc7942_0071,Synpcc7942_0071,CP000100.1,,69940,71139,-,pleiotropic regulatory protein-like,Amino acid transport and metabolism,Q31S66,Op91
Synpcc7942_0072,Synpcc7942_0072,CP000100.1,,71307,71960,-,conserved hypothetical protein,"Replication, recombination and repair",Q31S65,Op92
Synpcc7942_0073,ispH,CP000100.1,,72000,73196,-,hydroxymethylbutenyl pyrophosphate reductase,Lipid transport and metabolism,Q31S64,Op92
Synpcc7942_0074,Synpcc7942_0074,CP000100.1,,73306,73659,-,conserved hypothetical protein,No COG annotation,Q31S63,Op93
Synpcc7942_0075,pepP,CP000100.1,,73775,75088,+,aminopeptidase P. Metallo peptidase. MEROPS family M24B,Amino acid transport and metabolism,Q31S62,Op94
Synpcc7942_0076,Synpcc7942_0076,CP000100.1,,75091,75852,+,extracellular solute-binding protein%2C family 3,Amino acid transport and metabolism,Q31S61,Op94
Synpcc7942_0077,Synpcc7942_0077,CP000100.1,,75928,76617,+,transcriptional regulator%2C XRE family,No COG annotation,Q31S60,Op95
Synpcc7942_0078,Synpcc7942_0078,CP000100.1,,76614,77063,-,Protein of unknown function UPF0047,Function unknown,Q31S59,Op96
Synpcc7942_0079,Synpcc7942_0079,CP000100.1,,77138,77584,-,conserved hypothetical protein YCF41,"Replication, recombination and repair",Q31S58,Op97
Synpcc7942_0080,Synpcc7942_0080,CP000100.1,,77648,78871,-,probable ABC transporter permease protein,Defense mechanisms,Q31S57,Op98
Synpcc7942_0081,Synpcc7942_0081,CP000100.1,,78987,79196,-,RNA-binding S4,Function unknown,Q31S56,Op99
Synpcc7942_0082,Synpcc7942_0082,CP000100.1,,79265,81013,+,ATPase,Defense mechanisms,Q31S55,Op100
Synpcc7942_0083,Synpcc7942_0083,CP000100.1,,81023,81220,+,hypothetical protein,No COG annotation,Q54732,Op100
Synpcc7942_0084,Synpcc7942_0084,CP000100.1,,81217,81918,+,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Q54731,Op100
Synpcc7942_0085,Synpcc7942_0085,CP000100.1,,82179,82865,-,HAD-superfamily hydrolase subfamily IA%2C variant 3,No COG annotation,Q31S52,Op101
Synpcc7942_0086,glgX,CP000100.1,,82871,84955,-,isoamylase%2C glycosyl hydrolase family 13,Carbohydrate transport and metabolism,Q31S51,Op101
Synpcc7942_0087,Synpcc7942_0087,CP000100.1,,84964,86475,-,conserved hypothetical protein,Function unknown,Q31S50,Op101
Synpcc7942_0088,Synpcc7942_0088,CP000100.1,,86547,87269,+,conserved hypothetical protein,Function unknown,Q31S49,Op102
Synpcc7942_0089,clcD1,CP000100.1,,87881,88615,-,Carboxymethylenebutenolidase,"Secondary metabolites biosynthesis, transport, and catabolism",Q31S48,Op103
Synpcc7942_0090,gntR,CP000100.1,,88735,89718,+,transcriptional regulator%2C GntR family,Transcription,Q31S47,Op104
Synpcc7942_0091,ubiC,CP000100.1,,89715,90326,-,conserved hypothetical protein YCF21,Coenzyme transport and metabolism,Q31S46,Op105
Synpcc7942_0092,Synpcc7942_0092,CP000100.1,,90583,90930,-,conserved hypothetical protein,No COG annotation,Q31S45,Op106
Synpcc7942_0093,tmk,CP000100.1,,91029,91676,+,thymidylate kinase,Nucleotide transport and metabolism,Q31S44,Op107
Synpcc7942_0094,holB,CP000100.1,,91676,92611,+,DNA polymerase III%2C delta prime subunit,"Replication, recombination and repair",Q31S43,Op107
Synpcc7942_0095,rpaA,CP000100.1,,92590,93339,-,two component transcriptional regulator%2C winged helix family,Transcription,Q31S42,Op108
Synpcc7942_0096,Synpcc7942_0096,CP000100.1,,93764,94285,-,conserved hypothetical protein,Function unknown,Q31S41,Op109
Synpcc7942_0097,cobN,CP000100.1,,94375,98166,-,hydrogenobyrinic acid a%2Cc-diamide cobaltochelatase,Coenzyme transport and metabolism,Q31S40,Op110
Synpcc7942_0098,pyk,CP000100.1,,98302,100086,-,pyruvate kinase,Carbohydrate transport and metabolism,Q31S39,Op111
Synpcc7942_0099,Synpcc7942_0099,CP000100.1,,100202,100531,+,hypothetical protein,Function unknown,Q31S38,Op112
Synpcc7942_0100,Synpcc7942_0100,CP000100.1,,100528,101082,-,conserved hypothetical protein,No COG annotation,Q31S37,Op113
Synpcc7942_0101,ndbA,CP000100.1,,101259,102593,+,type 2 NADH dehydrogenase,Energy production and conversion,Q31S36,Op114
Synpcc7942_0102,Synpcc7942_0102,CP000100.1,,102674,103237,+,conserved hypothetical protein,Function unknown,Q31S35,Op115
Synpcc7942_0103,arpA,CP000100.1,,103268,103645,-,Ankyrin,No COG annotation,Q31S34,Op116
Synpcc7942_0104,Synpcc7942_0104,CP000100.1,,103632,104408,-,hypothetical protein,No COG annotation,Q31S33,Op116
Synpcc7942_0105,nadE,CP000100.1,,104653,106377,-,NH(3)-dependent NAD(+) synthetase,Coenzyme transport and metabolism,Q31S32,Op117
Synpcc7942_0106,nadD,CP000100.1,,106374,106952,-,probable nicotinate-nucleotide adenylyltransferase,Coenzyme transport and metabolism,Q31S31,Op117
Synpcc7942_0107,Synpcc7942_0107,CP000100.1,,106965,108383,-,Small GTP-binding protein domain,Function unknown,Q31S30,Op117
Synpcc7942_0108,parB,CP000100.1,,108556,108816,+,sulfiredoxin,Function unknown,Q31S29,Op118
Synpcc7942_0109,Synpcc7942_0109,CP000100.1,,108877,109383,+,DNA-binding ferritin-like protein (oxidative damage protectant)-like,Inorganic ion transport and metabolism,Q31S28,Op119
Synpcc7942_0110,Synpcc7942_0110,CP000100.1,,109390,109947,+,transcriptional regulator%2C XRE family,Transcription,Q31S27,Op119
Synpcc7942_0111,dnaK4,CP000100.1,,110012,111607,+,DnaK protein-like,"Post-translational modification, protein turnover, and chaperones",Q31S26,Op120
Synpcc7942_0112,phrA,CP000100.1,,111686,113140,+,Deoxyribodipyrimidine photo-lyase type I,Coenzyme transport and metabolism,Q31S25,Op121
Synpcc7942_0113,Synpcc7942_0113,CP000100.1,,113196,113288,+,hypothetical protein,No COG annotation,Q31S24,Op122
Synpcc7942_0114,Synpcc7942_0114,CP000100.1,,113327,113698,+,hypothetical protein,No COG annotation,Q31S23,Op122
Synpcc7942_0115,-,CP000100.1,,113631,114146,-,conserved hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31S22,Op123
Synpcc7942_0116,scrK,CP000100.1,,114299,115273,+,fructokinase,Carbohydrate transport and metabolism,Q31S21,Op124
Synpcc7942_0117,Synpcc7942_0117,CP000100.1,,115391,116722,+,thiol methyltransferase 1-like,No COG annotation,Q31S20,Op125
Synpcc7942_0118,gatB,CP000100.1,,116943,118427,+,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,"Translation, ribosomal structure and biogenesis",Q31S19,Op126
Synpcc7942_0119,Synpcc7942_0119,CP000100.1,,118735,119292,-,hypothetical protein,No COG annotation,Q31S18,Op127
Synpcc7942_0120,Synpcc7942_0120,CP000100.1,,119508,119993,-,Cytosine/adenosine deaminases-like,Nucleotide transport and metabolism,Q31S17,Op128
Synpcc7942_0121,Synpcc7942_0121,CP000100.1,,120013,121239,-,conserved hypothetical protein,Function unknown,Q31S16,Op128
Synpcc7942_0122,Synpcc7942_0122,CP000100.1,,121831,123408,-,EAL,Signal transduction mechanisms,Q31S15,Op129
Synpcc7942_0123,Synpcc7942_0123,CP000100.1,,123808,123897,-,conserved hypothetical protein,No COG annotation,Q31S14,Op130
Synpcc7942_0124,Synpcc7942_0124,CP000100.1,,124070,124669,-,thiol methyltransferase 1-like,"Secondary metabolites biosynthesis, transport, and catabolism",Q31S13,Op131
Synpcc7942_0125,hisB,CP000100.1,,124738,125367,-,imidazoleglycerol-phosphate dehydratase,Amino acid transport and metabolism,Q31S12,Op132
Synpcc7942_0126,fabI,CP000100.1,,125382,126158,-,Enoyl-[acyl-carrier-protein] reductase (NADH),Lipid transport and metabolism,Q31S11,Op132
Synpcc7942_0127,ntcA,CP000100.1,,126390,127058,+,transcriptional regulator%2C Crp/Fnr family,Transcription,P29283,Op133
Synpcc7942_0128,Synpcc7942_0128,CP000100.1,,127151,128449,+,conserved hypothetical protein,Function unknown,Q31S09,Op134
Synpcc7942_0129,Synpcc7942_0129,CP000100.1,,128446,128877,+,Resolvase%2C RNase H-like fold,"Replication, recombination and repair",Q31S08,Op134
Synpcc7942_0130,Synpcc7942_0130,CP000100.1,,128822,129409,-,hypothetical protein,No COG annotation,Q31S07,Op135
Synpcc7942_0131,Synpcc7942_0131,CP000100.1,,129670,132495,-,cyclic nucleotide-binding domain (cNMP-BD) protein,Energy production and conversion,Q31S06,Op136
Synpcc7942_0132,Synpcc7942_0132,CP000100.1,,132721,133770,-,conserved hypothetical protein,Function unknown,Q31S05,Op137
Synpcc7942_0133,Synpcc7942_0133,CP000100.1,,133915,134754,+,conserved hypothetical protein,Function unknown,Q31S04,Op138
Synpcc7942_0134,Synpcc7942_0134,CP000100.1,,134745,136052,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q31S03,Op138
Synpcc7942_0135,Synpcc7942_0135,CP000100.1,,136016,136651,-,Methylase involved in ubiquinone/menaquinone biosynthesis-like,Coenzyme transport and metabolism,Q31S02,Op139
Synpcc7942_0136,Synpcc7942_0136,CP000100.1,,136706,138013,-,phage integrase,"Replication, recombination and repair",Q31S01,Op140
Synpcc7942_0137,hemH,CP000100.1,,138115,139278,+,ferrochelatase,Coenzyme transport and metabolism,Q31S00,Op141
Synpcc7942_0138,Synpcc7942_0138,CP000100.1,,139416,140018,+,Membrane proteins%2C metalloendopeptidases-like,Cell wall/membrane/envelope biogenesis,Q31RZ9,Op142
Synpcc7942_0139,ilvB,CP000100.1,,140268,142106,+,acetolactate synthase%2C large subunit,Coenzyme transport and metabolism,Q31RZ8,Op143
Synpcc7942_0140,Synpcc7942_0140,CP000100.1,,142233,142631,-,conserved hypothetical protein,No COG annotation,Q31RZ7,Op144
Synpcc7942_0141,secF,CP000100.1,,142618,143562,-,protein translocase subunit secF,"Intracellular trafficking, secretion, and vesicular transport",Q31RZ6,Op144
Synpcc7942_0142,secD,CP000100.1,,143572,144966,-,protein-export membrane protein SecD,"Intracellular trafficking, secretion, and vesicular transport",Q31RZ5,Op144
Synpcc7942_0143,pdhB,CP000100.1,,145003,145983,-,pyruvate/2-oxoglutarate dehydrogenase complex dehydrogenase (E1) component,Energy production and conversion,Q31RZ4,Op144
Synpcc7942_0144,Synpcc7942_0144,CP000100.1,,146268,146720,+,conserved hypothetical protein,Function unknown,Q31RZ3,Op145
Synpcc7942_0145,Synpcc7942_0145,CP000100.1,,146717,147040,-,conserved hypothetical protein,Function unknown,Q31RZ2,Op146
